countyfp,Name,Dem_RUCA,Dem_Desc,edr,planning.region
117,pipestone,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
119,polk,C,Urban/town/rural mix,EDR  1 - Northwest,Northwest Minnesota
121,pope,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
123,ramsey,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
125,red lake,A,Entirely rural,EDR  1 - Northwest,Northwest Minnesota
127,redwood,B,Town/rural mix,EDR  8 - Southwest,Southwest Minnesota
129,renville,A,Entirely rural,EDR  6E- Southwest Central,Central Minnesota
131,rice,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
133,rock,C,Urban/town/rural mix,EDR  8 - Southwest,Southwest Minnesota
135,roseau,B,Town/rural mix,EDR  1 - Northwest,Northwest Minnesota
139,scott,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
141,sherburne,D,Entirely urban,EDR  7W- Central,Central Minnesota
143,sibley,C,Urban/town/rural mix,EDR  9 - South Central,Southwest Minnesota
137,st. louis,C,Urban/town/rural mix,EDR  3 - Arrowhead,Northeast Minnesota
145,stearns,C,Urban/town/rural mix,EDR  7W- Central,Central Minnesota
147,steele,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
149,stevens,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
151,swift,B,Town/rural mix,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
153,todd,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
155,traverse,A,Entirely rural,EDR  4 - West Central,Northwest Minnesota
157,wabasha,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
159,wadena,B,Town/rural mix,EDR  5 - North Central,Northwest Minnesota
161,waseca,C,Urban/town/rural mix,EDR  9 - South Central,Southwest Minnesota
163,washington,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
165,watonwan,B,Town/rural mix,EDR  9 - South Central,Southwest Minnesota
167,wilkin,B,Town/rural mix,EDR  4 - West Central,Northwest Minnesota
169,winona,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
171,wright,C,Urban/town/rural mix,EDR  7W- Central,Central Minnesota
173,yellow medicine,B,Town/rural mix,EDR  6W- Upper Minnesota Valley,Southwest Minnesota
0,minnesota,,,Minnesota,Minnesota
